config,n,thr_mean,thr_std,sec_only_mean,sec_only_std,honest_mean,honest_std,sec_fail_events,fallback_events
w=5 section (30),30,20.664046666666668,0.03771938798396715,186.0935104,12.710419465225932,269.53377753333336,25.491862705672578,392,392
w=5 baseline (30),30,20.627860000000002,0.05179264093645351,455.50526786666654,11.006384848803663,455.50526786666654,11.006384848803663,0,0
w=10 section (100),100,21.065444,0.04436571230446813,235.98264810999999,9.518320304907768,444.90689274,69.25959968013457,1106,1106
w=10 baseline (100),100,21.098986,0.04570721274557983,596.62276082,23.41099990769685,596.62276082,23.41099990769685,0,0
